title,id
T. Comer,885a8636-7fd7-42de-9866-4af2b507a9af
F. Hopkinson,3a511f4a-ce9e-442b-a321-cf158703c4ae
A. Clifton,e8902145-397f-4783-803d-bd847022af7b
Joseph Hopkinson,31a7b57b-9b05-43ba-b575-8c5a9a25cab9
Judge Hopkinson,0408c85d-6a5c-437a-a758-2218029823ab
E. Mack,2aaf5932-01f8-4952-a085-6a99e115da25
Roi de Wurtemberg,7940e312-704f-4012-beff-e4cb0373a517
Francis H. Brown,76911511-4791-47ba-b5d2-b8656d160728
Ferd,fca9aa83-9050-4010-ad3e-f20324f69e3b
C. Everest,bee8fb1a-4cf5-40a3-87c8-8e930e78faaa
Charles Grobe,48d0c0f3-9d07-4a6e-b532-5b8e4e1be05b
Bearbeitet von Ferdinand Beyer,d7189d2d-70a7-427b-9abf-711cb4b3650a
Solon Bingham,ee10d948-c435-42d6-a66c-f0d67f0649b0
D. Krug,10758457-f84c-4568-8831-d1fc813daecc
Uncle Sam,15ea24f0-96c1-48b7-a2e1-d1ad64dbc5b4
Antonio Accasto,e05a4d10-9e59-4ed0-9a66-d49373a2371c
E. Manuel,ee512146-fb81-4b5e-8c2b-19a6232059b4
Graf Henckel von Donnersmarck,e930083e-cc15-45b1-88fa-bcde188931a8
Pierre Horr,236c09d8-dc8b-4160-b328-77393f29cfb3
Mr. R. Taylor,ba7459fb-da69-459f-bf47-45d684d6edc0
Mr. F. Yaniewicz,941cb0af-4ca3-4af1-bbbe-bfa77acb3548
Clubb,70fd0908-85b7-4c4d-8d31-93c8d31a44b3
T. A. Beckett,93ea8c51-e2da-4568-84d2-dc65974febd3
Mr. Hewitt,5e4cb481-c207-4616-a660-ce1943aabe52
Earl Mulgrave,328579f8-e1ce-4eda-9caf-8a9759a60304
J. Mathews,56277c91-7689-4f74-a455-d433bf383bbd
Major Wm. Jackson,e6e73ece-0049-4fd7-b15d-b7d2854767ef
G. Gillingham,be136dfb-5e83-48a8-be97-7cafe351bcdd
P. A. von Hagen Jr.,7191d621-c8ea-454c-b3e5-c5196f492d26
G. A. Harringston,93211458-409b-4621-9e0e-af3e2ff46292
G. O. Farmer,7055920c-7f17-44c1-86a7-93aba06e0815
Joseph E. Sweetser,1f602cad-e0c1-48cc-b7a7-60e3e7fd44a3
T. F. Archer,b44cf73e-4c1a-49eb-9f66-f4fb380e531f
Thos. F. Adams,15e54248-d521-4993-86a2-f65bf4881e7b
S. H. G.,19fa0930-c896-47ce-baa0-31d7b2666a31
Lieut. Henry De Wolf,399b492a-aea3-4099-8b6c-1d3c40f26861
U. S. A.,4504ec9f-bd65-455d-90a1-68709b4f5688
Francis Johnson,eeaf33fa-9654-450e-8aa3-f8ee46f2c3af
Edward Richard Hansen,2b878fc9-5b8b-4eda-886f-c93470f74330
Geo. Cooper,b1519a33-dd15-42b1-916a-6cc39cf5575b
J. C. Beckel,8970d246-ce63-4a92-ab9e-03f6e43bdf63
Julio Soler,c8e3980c-1f0d-4ae8-8b56-ef641b876bf5
T. W. H. B. B.,1643e33a-3187-442f-9e97-e92571bad4e3
Geo. O. Farmer,dffc7668-9aa8-4333-a54f-92cd0b29ffcc
Auvray,f35a4480-3afe-4541-863f-0c7a7a1fbd81
George Ware,5a9ea000-4f1a-467f-b275-8bc42ce703ed
C. Meinere,33a36020-c25c-401e-ac8d-b694dae1bd44
Dutchess of Devonshire,8016f3af-2a95-4c1b-ac1e-6d0d9768ce06
Henry Weber,2bea8dcb-f59c-44f6-b6b0-787a2c1dc3cb
Mr. E. J. Westrop,28e09f43-015c-4f39-b6eb-e5dd775190ef
Kuffner,aa8f0b4b-4bed-4596-a606-68d47f8b3b06
B. S. Clemens,e15b9e94-b88b-4ba5-b805-bfa074e8ba32
Ludovico Gabici,5a7e5989-8585-406f-bdb0-dea3054a883c
Mount Vernon,738187a0-7ea9-4e0f-a203-9492e3b770fc
J. W. Brackett,e56f7054-435b-4d82-a3e8-e924cbe08d7f
J. Hewitt,8dae01bd-6bf0-4851-a0e4-4e2d796b8ecd
A. Reinagle,36d6844f-908a-4e0c-9a68-f9de81a554da
P. Mauro,ae8d5fee-c599-49ce-b639-6f21072c62b2
H. Schwing,cf12da1d-26c2-4cf3-b792-185066dbaa72
F. Southgate,bf7a5bdb-28c1-4a1f-b50f-db2d399a667f
Henry Dielman,ca4b1183-2562-41fc-b84e-135a36a273fe
J. T. Norton,c917fef8-3ed6-4fef-891b-f98d5025743d
M. Pittes Senr,7064ca16-c950-433d-a775-b02fe3c3eb91
Mr. F. Weiland,e1cea310-072e-4a6c-8cd7-21555aa39fa4
R. Hastings,abbe3063-05c5-4f67-a96c-b8dbd6e38f8d
M. Ward,1dcb837b-0273-4397-84ca-6c6d14e327e3
John Clarkson Junr.,f33b3179-03e2-4062-a3e5-eabd1dc68546
Seba Smith,de0e12e0-869f-4e76-b49a-556aa5b42159
J. Hemmenway,9bb92cb1-6307-4c7a-aeac-98a04a97346f
Oliver Shaw,97587e3a-8780-4a5d-acd4-d9a1ef09ec91
Henry Russell,3d03e4c4-e0e9-42ef-8be0-c8257ae5fea8
F. Weiland,ce8cc094-a51e-4ba3-8d8e-9cb5abc097cc
Philip Burgheim,785dd6ba-55bc-4a25-9646-da377a6478b4
G. W. Blaettermann,a57951fc-ea5a-46fa-81ce-c16d0c98f082
Dr. Wm. Lardner,dc7f63de-8995-496f-aba0-b91ede8d5901
John P. Ordway,76ac7c1a-8df3-42e0-a957-7986344407f4
C. H. Weber,388cf624-4825-41fd-b501-03b4d31e3f74
Henry Rohbock,8f924d41-650b-4127-aa36-85061d2bbcaf
Saint Charles,9ecd544f-3c21-4497-b4d9-d6f9030edc94
L. Reynolds M. D.,f3ff769e-ef9c-492d-a823-21c59e9bdad9
J. G. Coffin,e1e88bd7-ec11-4ed6-8665-bbcbee0bd87d
I. A. Grohe,c8057c88-064e-4f25-a27d-9b00898bf010
Richard Andrews,85eca3b1-fc00-4f6f-82a8-ecdbe799f406
Austin Phillips,e6b8bad6-ae0f-44dd-954b-ecf1b6a75888
J. C. Osbourn,ba4fcc68-ff6b-45d2-82ae-459319899f0b
Julius E. Muller,c4e6894f-8895-4dff-9c7d-f815e6e211ab
Josef Gungl,e104b4cb-4d3f-49c5-bb33-9aef3a32d23f
W. C. Rayner,f2181924-051c-4335-a796-c06998033919
Alexander Kyle,a0756ed3-5f0d-402a-a7bf-e94f4bbfa9f9
A. H. Durocher Balto,930fc664-ce09-428a-996d-b2f4393fd49f
Henry Chadwick,19aaa405-d9b1-471d-862d-2a4ed02a195f
J. W. Watson,dcf20fb3-7051-44f1-b35f-6dd3facdd9b0
William Hayden,89fe7b33-ba60-49ec-8198-d2564c443c0a
H. P. Gratten,339de48c-d9e0-47f9-bb07-47a9056b0ced
James Bellak,775b61d8-047a-4e9d-9931-60fdd617e990
Strauss,5e41d9cf-0c22-4bb0-b66d-610409163f70
Francis Buck,77384fce-5a9f-4cf1-901f-db1d2b6bc386
James M. Deems,cc719d7d-c65d-4806-92cd-dc8b84ac8ef5
Seth H. Sweetzer,3984e9e1-2c55-4412-8451-3d410e709a88
Augusta Browne,c95bea7e-dd79-45ca-afac-6ba4a032b156
J. H. Warland,7aa73d5b-5280-467c-9594-92d8354e926e
William Wolsieffer,10bd3094-04cc-4038-957e-26caace4d811
Cha's G. Degenhard,13e60773-b64b-4844-b059-c5031552d16a
W. F. S.,b0233d2a-3323-4f59-bd02-db38c1e9f75c
F. H. H. Oldfield,143224c3-1f33-4e96-8a02-f94c5ac4efb7
Mrs. Parkhurst,761bc143-d3f0-45a9-a962-38bad0d77270
C. Sprague,d4a15f6d-8704-41e4-a397-e1334455769f
J. F. Petri,c96eb415-16fe-42de-8bbd-dce0f4fb5c46
L. M. Dawn,cdc634b5-7ed6-41ea-bf53-152041482820
Albert Holland,13bcf211-8aeb-439d-8696-b247e0a09cff
Karl Cora,83cf9c46-349a-4887-aa79-efeb1645f0f3
Nathan Richardson,aecfbe61-9175-4b12-bb25-1ec7a7599b47
George Felix Benkert,ed0aca7d-f787-4feb-b8d5-98f606f3ac44
Jas. M. Stewart,a6c18817-9da1-42bc-adf5-5d6a39866500
Henry Mayer,6296dc0a-ce87-44a2-9857-035d7ed3b2b3
L. B. Starkweather,eec0f2ed-2ae0-4554-82b0-51277ee99eed
E. T. Paull,5fe107ee-02cc-4088-aa82-f71f6205cbfb
F. W. Rauch,a29c3981-03e2-49fc-b754-5b0c25d8d7a1
E. C. Davis,f3fb3aca-9dd5-412c-b7ba-f92df79bbf2d
J. A. Butterfield,b84dc74b-d24c-4ce6-8606-c6f42ea03b78
James W. Porter,9a1519d1-d248-4b66-b834-6c52e149a10a
Konrad Treuer,bb182553-48c4-492f-8381-30cc1897a6ed
James Nicholson,670e0025-5c42-47b8-b86e-e200011805f1
Henri Cromwell,e1ad9c35-6ffb-40a1-89d7-5761bc639de5
A. Sedgwick,74be89f4-a7ff-4757-a7dc-3f7192044cd0
Jmes T. Dudley,c0538397-3cf9-4511-ac83-4c97679e1eac
Wm. O. Fiske,d48ab28e-ed22-4059-ac0b-49d918199831
Agnes Lanich,faa514b6-9fdc-4bff-8ee7-d2d1c4e6ff31
L. B. Miller,6fb7aa7a-c030-460c-8495-5f6f697e610f
Harry L. Tatnall,ebd3330d-596d-4b6d-bdcd-974ee9c71df3
Jas. E. Glass,555597ce-ae77-4737-b62c-79f0d45f80ff
C. Archer,0ae3530d-1209-4e29-a2e6-bb29677b819e
E. Hoffman,bb8fa131-b936-40f9-8b98-60261049d676
A. J. Vaas,d716d5fe-fd7a-4de3-a37f-c166c27d584f
John M. Crosland,d8fe020d-6096-43b6-ac0b-b772ac2a9437
E. W. Locke,b01cbb04-b698-4310-b6f9-3ca98cfac7f1
Frank Emmo,a762ae2a-a418-4a80-9577-9dcc99d13741
Ason O'Fagun,0033c64e-d84b-485c-a399-e1c27a984777
