taxonomy,name,id
creator_r,arranger,095cbd30-39aa-4b18-8620-4ba0e76d10f3
creator_r,composer,cc45eb91-6907-4f89-9c7b-0d06c5f05620
creator_r,lyricist,42f1747c-91ea-4689-90df-2a7db381be4d
creator_r,composer lyricist,9801b18f-b2a3-4cbd-ae21-42341069c1fa
creator_r,composer arranger,f22e0a72-8389-463e-9b79-4f373844388b
creator_r,composer lyricist arranger,857eb61d-48d7-4cfb-a852-742d39831906
creator_r,lyricist arranger,1f2887c1-8b75-454a-b453-512ef56cb28c
creator_r,arranger lyricist,d0b9ed14-bb55-4eff-b057-ea9c05d389d6
creator_r,lyricist other,6ed17139-9da7-44ba-b762-7f853000b9e1
creator_r,composer lyricist other,ccad4b27-8fa5-45b6-877a-13aeb61e0c26
creator_r,other,743e1611-15a6-47f8-a5c9-2d66423afff0
creator_r,composer other,ca55da85-1e3b-4c0a-aadb-1de2eee5f085
creator_r,composer lyricist arranger other,10b2b726-e345-4254-8f10-55ef063552e5
creator_r,arranger other,297d621d-d8ed-48e0-a3ba-d24943e67ad3
creator_r,composer arranger other,8a351bd4-fa48-4ee3-84e4-2f95ba501af1
creator_r,A. Seymour Brown,17210fe6-4456-45dc-acd1-9f4775107099
creator_r,A. Seymour Brown,ba9ffe2e-6cfd-4c17-bb4a-8e57895c5789
creator_r,A. Willemetz,215b8096-2128-409e-9383-3109a468c60e
creator_r,A.G. Delamater,ba593f39-5dd8-4298-938f-cd9ea1ac4e2a
creator_r,Adrian Ross,c5680332-05b7-4129-8e11-6a8eb0c935a4
creator_r,Albert Stillman,80dc4abf-b93a-46f1-a03d-2174c87b861d
creator_r,Alf. J. Lawrence,24c4308b-9b37-4380-bd90-e798aa4ce7ea
creator_r,Alfred Bryan,dcdba945-fa0f-4110-b87e-85fe31f193cc
creator_r,Alice Duer Miller,6eb3d2fb-2e03-4a29-960d-3eeff25f818b
creator_r,Andrew B. Sterling,2ecb20fd-e8db-413f-9ec1-86f5b5b6713d
creator_r,Anne Caldwell,881a3d6e-2f89-4b3d-b3f9-e02544ced957
creator_r,Arthur Fields,f3230a48-596f-46a1-af41-1e063d7a9224
creator_r,Arthur Freed,87ea9eac-fc38-48f2-b683-0e4c83313323
creator_r,Arthur Hammerstein,5fe95bdd-4865-4e93-995f-e05d2b753f4b
creator_r,Arthur Jackson,7aa4284d-e9ce-4509-9360-58c97c8a7d94
creator_r,Arthur Pinero,950d8880-2885-4a11-9d40-6d779dfa3fd3
creator_r,B.G. De Sylva,72cadec8-ecd8-48a5-9a4b-062eba7d4c1e
creator_r,Ballard Macdonald,e88dd2c3-47d1-40f3-9b5a-ae310245155d
creator_r,Bernard Dougall,3d895ac4-f729-4d51-928a-d0fea85c0433
creator_r,Bert Kalmar,0a3e2a2e-db5b-4414-b2b1-2cc6d1243496
creator_r,Berton Braley,55a18d9a-074a-4fa7-9a99-9046a37f4bf2
creator_r,Bessie Mccoy,4fe6b26c-39fd-474a-a7e0-71dc847ab888
creator_r,Billy Rose,e8ed3f60-d300-496b-92cb-f4cb102aa389
creator_r,Booth Tarkington,ca310083-38c8-431e-bb72-1339356095c5
creator_r,Brian Hooker,88800ae8-29d6-4034-a477-cb160848e6f5
creator_r,C.H. Bovill,5317db1b-ba90-486f-9060-c2ea49c7868b
creator_r,Charles H. Taylor,2b239914-df52-40a8-9ff9-40f5214c9528
creator_r,Clarke & Leslie,50f64207-0ce9-4eeb-952e-3b0a97e7066e
creator_r,Clifford Grey,3ccb9e17-3981-4cac-b0db-d7a9e6573d92
creator_r,Cole Porter,f1d7b2a0-1ef8-4106-b4cb-7c849ccd431e
creator_r,D. Eardley-Wilmot,675b7514-3412-405a-a8d1-dbfdafc4e921
creator_r,Dabney & Europe,dc8fb293-f91b-455b-b261-2777dd8fa6ae
creator_r,Desmond Carter,75e9a4b1-e839-472f-bd10-577cf8f3db18
creator_r,Dorothy Donnelly,ade5d711-827c-4c4b-9488-17a8f8983e9c
creator_r,Dorothy Fields,50a9069f-3d7c-4c9f-be63-671b3a14c0ac
