fileIdentifier,field_publisher,composer
Levy-194-010,publishers:::20beb578-bd1c-4a33-8946-bba15ba7525f,
Levy-194-065,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
Levy-194-066,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
Levy-194-067,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
Levy-194-068,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
Levy-194-069,publishers:::20beb578-bd1c-4a33-8946-bba15ba7525f,
Levy-194-070,publishers:::20beb578-bd1c-4a33-8946-bba15ba7525f,
Levy-194-071,publishers:::20beb578-bd1c-4a33-8946-bba15ba7525f,
Levy-194-072,publishers:::20beb578-bd1c-4a33-8946-bba15ba7525f,
Levy-194-073,publishers:::b87aa978-0e77-481b-808a-afbbd1e63e43,
Levy-194-074,publishers:::b87aa978-0e77-481b-808a-afbbd1e63e43,
Levy-194-075,publishers:::dc83a1e0-e73e-419c-a7d5-30e6203c18c7,
Levy-194-076,publishers:::dc83a1e0-e73e-419c-a7d5-30e6203c18c7,
Levy-194-077,publishers:::33c78399-6708-4a85-9db9-a4243f10c0ad,
Levy-194-078,publishers:::21910e27-9829-4097-899c-9ee537c3ca65,
Levy-194-079,publishers:::4c35a227-01d0-4625-bff0-0b1ad72d87e4,
Levy-194-080,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
Levy-194-081,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
Levy-194-082,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
Levy-194-083,publishers:::ee068c84-bf8d-4d74-99df-059543454aa7,
Levy-194-084,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
Levy-194-085,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
Levy-194-086,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
Levy-194-087,publishers:::b87aa978-0e77-481b-808a-afbbd1e63e43,
Levy-194-088,publishers:::28438443-2b8b-4ebb-94b3-9b09fa0b2379,
Levy-194-089,publishers:::28438443-2b8b-4ebb-94b3-9b09fa0b2379,
Levy-194-090,publishers:::b87aa978-0e77-481b-808a-afbbd1e63e43,
Levy-194-091,publishers:::b87aa978-0e77-481b-808a-afbbd1e63e43,
Levy-194-092,publishers:::28438443-2b8b-4ebb-94b3-9b09fa0b2379,
Levy-194-093,publishers:::b87aa978-0e77-481b-808a-afbbd1e63e43,
Levy-194-094,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
Levy-194-095,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
Levy-194-096,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
Levy-194-097,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
Levy-194-098,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
Levy-194-099,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
Levy-194-100,publishers:::ee068c84-bf8d-4d74-99df-059543454aa7,
Levy-195-001,publishers:::b87aa978-0e77-481b-808a-afbbd1e63e43,
Levy-195-002,publishers:::b87aa978-0e77-481b-808a-afbbd1e63e43,
Levy-195-003,publishers:::e754d374-5125-4b33-bcbe-91b2f388a43f,
Levy-195-004,publishers:::94cd8bff-f23c-4656-85db-35e954ac71c6,
